,categories name,brand name,product name,pro description,price,brand,color,size,img url 1,img url 2
https://www2.hm.com/en_us/productpage.1280785002.html,shirt,H&M,Oversized Teddy Fleece Vest,"Oversized vest in soft teddy fleece with narrow binding at edges. V-neck, snap fasteners at front, and diagonal welt front pockets.","445,000",H&M,Dark brown,"S,M,L",https://image.hm.com/assets/hm/ed/f7/edf7af47614bc75801da882fb47ee4e8a7f326a1.jpg?imwidth=1260,https://image.hm.com/assets/hm/22/0b/220b056c4f4107713fbc3bf84093b62bf8c76a2f.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1280785001.html,shirt,H&M,Oversized Teddy Fleece Vest,"Oversized vest in soft teddy fleece with narrow binding at edges. V-neck, snap fasteners at front, and diagonal welt front pockets.","445,000",H&M,White,"S,M,L",https://image.hm.com/assets/hm/ca/09/ca0956853811fd09c808d14bc68f752e4371c644.jpg?imwidth=1260,https://image.hm.com/assets/hm/1f/2f/1f2f8dd22f085a997fef4980a630f74caaa7bbe8.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1280777001.html,dress,H&M,Glittery Bouclé Dress,"Short dress in bouclé jersey with glittery thread. Low-cut V-neck, decorative button placket at front, and 3/4-length sleeves. Flared skirt.","1,100,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/f5/ee/f5ee210dbeea75690b63e2d2774bcdbf2db7b6a3.jpg?imwidth=1260,https://image.hm.com/assets/hm/51/85/51857fba88989cf9ecbf13a36992442f19a6db10.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1280772001.html,skirt,H&M,Pleated Mesh Skirt,"A-line, calf-length skirt in pleated mesh. Waistband with covered elastic, laser-cut hem, and jersey lining.","890,000",H&M,Beige/leopard print,"S,M,L",https://image.hm.com/assets/hm/74/2b/742bb06ce61ad462fbf4911480932529dc7ddba0.jpg?imwidth=1260,https://image.hm.com/assets/hm/d8/51/d851e799d1ef41988bd3b5c77252c2332fe2dcea.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1277973002.html,shirt,H&M,Chain-Detail Long-Sleeved Top,"Short, fitted top in soft jersey. Round, low-cut neckline at front and back, decorative chain at front edge of neckline, and long sleeves.","235,000",H&M,White,"S,M,L",https://image.hm.com/assets/hm/f7/ed/f7ed3859e6330b7c450d4fcf451a194a3f21b709.jpg?imwidth=1260,https://image.hm.com/assets/hm/b4/c6/b4c67ea73b24474c04000ea8fa4fc62b92e96d95.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1277973001.html,shirt,H&M,Chain-Detail Long-Sleeved Top,"Short, fitted top in soft jersey. Round, low-cut neckline at front and back, decorative chain at front edge of neckline, and long sleeves.","313,000",H&M,Black,"S,M,L",https://image.hm.com/assets/hm/b3/8c/b38c46c3b1636572cb6b80651c629a93cfa5d9db.jpg?imwidth=1260,https://image.hm.com/assets/hm/d4/e6/d4e64e579b9c106d82a8637d70d6311e9c70d9ae.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1277280001.html,skirt,H&M,Organza Skirt,"Calf-length skirt in sheer organza with a slight sheen. Regular waist, shaping darts at back, and a concealed zipper at one side with hook-and-eye fastener. Slit at one side of hem. Short liner skirt.","1,300,000",H&M,Gray,"S,M,L",https://image.hm.com/assets/hm/d2/06/d20644a5f962771007e5f59c0b4728814d2e9ed0.jpg?imwidth=1260,https://image.hm.com/assets/hm/e9/2f/e92f91d432470cc8d0d2e0f4dc105495d5600d0d.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1276341002.html,pants,H&M,Flared Crushed-Velour Leggings,Leggings in crushed velour. Concealed elasticized waistband and flared hems.,"670,000",H&M,Orange,"S,M,L",https://image.hm.com/assets/hm/8e/07/8e07c8b455756ca16e71465e818c73776cfe8b2a.jpg?imwidth=1260,https://image.hm.com/assets/hm/37/92/37922f933ec1a3d51316a7bc952b91b0ee204870.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1276341001.html,pants,H&M,Flared Crushed-Velour Leggings,Leggings in crushed velour. Concealed elasticized waistband and flared hems.,"670,000",H&M,Dark brown,"S,M,L",https://image.hm.com/assets/hm/22/d5/22d5577dd4f5e3120520ef4f80716169f75f6a54.jpg?imwidth=1260,https://image.hm.com/assets/hm/1a/73/1a73ce4de70a02e757060f5e3ca92030a2be81fe.jpg?imwidth=1260
https://www2.hm.com/en_us/productpage.1276340002.html,shirt,H&M,Crushed Velour Top,Fitted top in crushed velour. Round neckline and long sleeves.,"670,000",H&M,Orange,"S,M,L",https://image.hm.com/assets/hm/b1/e0/b1e07182ecd48e866ad1e118001cf5384d70d3fd.jpg?imwidth=1260,https://image.hm.com/assets/hm/ec/a5/eca509ff218cae6b9939d61012ef101516cdbd2d.jpg?imwidth=1260
